Package,Built
ggplot2,3.4.0
ggraph,3.4.3
ggrepel,3.4.2
ggthemes,3.4.0
ggvis,3.4.0
gh,3.4.3
gistr,3.4.0
git2r,3.4.3
glmnet,3.4.2
glue,3.4.2
gmodels,3.4.0
gmp,3.4.1
goftest,3.4.0
googlesheets,3.4.0
googleVis,3.4.0
gower,3.4.0
GPArotation,3.4.0
gplots,3.4.0
graphics,3.4.3
grDevices,3.4.3
grid,3.4.3
gridBase,3.4.0
gridExtra,3.4.1
gsubfn,3.4.0
gtable,3.4.0
gtools,3.4.0
h2o,3.4.3
haven,3.4.3
here,3.4.0
hexbin,3.4.3
highcharter,3.4.0
highlite,3.4.3
highr,3.4.0
Hmisc,3.4.3
hms,3.4.3
hrbrthemes,3.4.2
HSAUR2,3.4.1
HSAUR3,3.4.1
htmlTable,3.4.3
htmltools,3.4.0
htmlwidgets,3.4.3
httpuv,3.4.1
httr,3.4.1
igraph,3.4.1
imager,3.4.0
influenceR,3.4.0
ini,3.4.2
inline,3.4.0
inum,3.4.3
ipred,3.4.0
irlba,3.4.3
ISLR,3.4.2
iterators,3.4.3
itertools,3.4.0
janitor,3.4.3
jpeg,3.4.0
jqr,3.4.2
jsonlite,3.4.0
jsonvalidate,3.4.0
kernlab,3.4.0
KernSmooth,3.4.3
keyring,3.4.1
KFAS,3.4.3
knitcitations,3.4.1
knitr,3.4.3
knitrBootstrap,3.4.1
labeling,3.4.0
Lahman,3.4.1
LaplacesDemon,3.4.3
lars,3.4.0
latex2exp,3.4.0
lattice,3.4.3
latticeExtra,3.4.0
lava,3.4.3
lavaan,3.4.0
lazyeval,3.4.2
leaflet,3.4.0
leaps,3.4.0
LearnBayes,3.4.0
lfe,3.4.0
libcoin,3.4.3
lme4,3.4.3
lmtest,3.4.0
loo,3.4.0
lookup,3.4.3
lubridate,3.4.2
magick,3.4.3
magrittr,3.4.0
manipulate,3.4.0
mapproj,3.4.0
maps,3.4.0
maptools,3.4.0
maptree,3.4.0
mapview,3.4.3
markdown,3.4.0
MARSS,3.4.0
MASS,3.4.3
Matrix,3.4.3
MatrixModels,3.4.0
matrixStats,3.4.3
maxLik,3.4.0
mclust,3.4.3
meifly,3.4.0
meme,3.4.3
memisc,3.4.3
memoise,3.4.3
MEMSS,3.4.0
methods,3.4.3
metricsgraphics,3.4.0
mgcv,3.4.3
microbenchmark,3.4.3
mime,3.4.0
miniUI,3.4.2
minqa,3.4.0
miscTools,3.4.0
mlmRev,3.4.0
mnormt,3.4.0
modeest,3.4.0
ModelMetrics,3.4.0
modelr,3.4.1
modeltools,3.4.0
moments,3.4.0
MSBVAR,3.4.0
multcomp,3.4.2
munsell,3.4.0
mvtnorm,3.4.3
networkD3,3.4.0
Nippon,3.4.3
nleqslv,3.4.1
nlme,3.4.3
nloptr,3.4.0
NLP,3.4.1
NMF,3.4.0
nnet,3.4.3
numDeriv,3.4.0
nycflights13,3.4.0
odbc,3.4.3
officer,3.4.3
openNLP,3.4.0
openNLPdata,3.4.2
openssl,3.4.2
optextras,3.4.0
optimx,3.4.0
osmar,3.4.0
packrat,3.4.0
pacman,3.4.0
pander,3.4.1
papeR,3.4.0
parallel,3.4.3
parsedate,3.4.0
partykit,3.4.3
pbivnorm,3.4.0
pbkrtest,3.4.0
pdist,3.4.0
PerformanceAnalytics,3.4.0
pillar,3.4.3
pingr,3.4.0
pkgconfig,3.4.0
pkgmaker,3.4.0
PKI,3.4.1
PKPDmodels,3.4.0
plm,3.4.2
plogr,3.4.0
plotly,3.4.1
plotrix,3.4.3
plyr,3.4.0
png,3.4.0
polyclip,3.4.0
prabclus,3.4.0
praise,3.4.0
prediction,3.4.0
prettyR,3.4.0
prettyunits,3.4.0
pROC,3.4.0
processx,3.4.2
prodlim,3.4.0
profileModel,3.4.0
profvis,3.4.3
progress,3.4.0
proj4,3.4.0
proto,3.4.0
protolite,3.4.1
pryr,3.4.2
psych,3.4.2
purrr,3.4.2
qdap,3.4.3
qdapDictionaries,3.4.0
qdapRegex,3.4.0
qdapTools,3.4.1
quadprog,3.4.0
quantmod,3.4.3
quantreg,3.4.2
qvcalc,3.4.2
R.cache,3.4.3
R.matlab,3.4.0
R.methodsS3,3.4.0
R.oo,3.4.0
R.rsp,3.4.3
R.utils,3.4.2
R6,3.4.0
RANN,3.4.0
rappdirs,3.4.0
raster,3.4.2
rbokeh,3.4.0
Rborist,3.4.1
Rcgmin,3.4.0
Rclusterpp,3.4.0
RColorBrewer,3.4.0
Rcpp,3.4.3
RcppArmadillo,3.4.3
RcppEigen,3.4.3
RcppRoll,3.4.0
RCurl,3.4.3
rdrop2,3.4.2
readbitmap,3.4.0
readr,3.4.0
readxl,3.4.0
recipes,3.4.3
RecordLinkage,3.4.0
RefManageR,3.4.1
regexPipes,3.4.0
registry,3.4.3
rematch,3.4.0
rematch2,3.4.1
repmis,3.4.0
ReporteRs,3.4.3
ReporteRsjars,3.4.3
reports,3.4.0
repr,3.4.0
reprex,3.4.3
reshape,3.4.1
reshape2,3.4.3
reticulate,3.4.3
revealjs,3.4.0
rex,3.4.2
Rfacebook,3.4.0
rfoaas,3.4.3
rgdal,3.4.3
rgeos,3.4.2
rgexf,3.4.0
rgl,3.4.3
RgoogleMaps,3.4.0
RGraphics,3.4.0
rhandsontable,3.4.3
rJava,3.4.2
RJDBC,3.4.3
rjson,3.4.0
RJSONIO,3.4.0
rlang,3.4.3
rlist,3.4.0
rmapshaper,3.4.1
rmarkdown,3.4.2
RMySQL,3.4.1
rngtools,3.4.0
robustbase,3.4.2
RocheTeradata,3.4.2
ROCR,3.4.0
Rook,3.4.0
roxygen2,3.4.0
rpart,3.4.3
rpart.plot,3.4.0
RPostgreSQL,3.4.1
rprojroot,3.4.3
rPython,3.4.0
rsconnect,3.4.1
RSQLite,3.4.1
rstan,3.4.3
rstanarm,3.4.3
rstantools,3.4.3
rstudioapi,3.4.1
rticles,3.4.0
Rttf2pt1,3.4.3
rversions,3.4.0
rvest,3.4.0
rvg,3.4.3
Rvmmin,3.4.1
RWDSverse,3.4.2
RWeka,3.4.3
RWekajars,3.4.3
RWiener,3.4.0
sandwich,3.4.1
satellite,3.4.2
scales,3.4.1
selectr,3.4.0
servr,3.4.2
setRNG,3.4.0
sf,3.4.3
sfsmisc,3.4.0
shiny,3.4.1
shinyAce,3.4.0
shinyBS,3.4.0
shinycssloaders,3.4.0
shinydashboard,3.4.0
shinyjs,3.4.3
shinysense,3.4.2
shinystan,3.4.2
shinytest,3.4.2
shinythemes,3.4.0
showimage,3.4.2
showtext,3.4.3
showtextdb,3.4.1
signal,3.4.0
sjlabelled,3.4.3
sjmisc,3.4.3
slam,3.4.3
snakecase,3.4.3
snow,3.4.0
SnowballC,3.4.0
sourcetools,3.4.0
sp,3.4.3
sparkline,3.4.0
sparklyr,3.4.3
SparseM,3.4.0
spatial,3.4.3
spatstat,3.4.3
spatstat.data,3.4.3
spatstat.utils,3.4.3
spData,3.4.3
spdep,3.4.3
splines,3.4.3
sqldf,3.4.1
SQUAREM,3.4.2
srvyr,3.4.3
StanHeaders,3.4.3
statmod,3.4.0
stats,3.4.3
stats4,3.4.3
stringdist,3.4.1
stringi,3.4.2
stringr,3.4.0
styler,3.4.3
survey,3.4.3
survival,3.4.3
svglite,3.4.1
svUnit,3.4.0
swirl,3.4.0
sysfonts,3.4.3
syuzhet,3.4.3
tcltk,3.4.3
tensor,3.4.0
testit,3.4.0
testthat,3.4.3
textshape,3.4.1
tfplot,3.4.0
tframe,3.4.0
TH.data,3.4.0
threejs,3.4.1
tibble,3.4.3
tidyr,3.4.3
tidyselect,3.4.2
tidyverse,3.4.2
tigris,3.4.3
tikzDevice,3.4.0
timeDate,3.4.2
tm,3.4.3
tools,3.4.3
tree,3.4.0
treemap,3.4.0
trimcluster,3.4.0
truncnorm,3.4.0
tseries,3.4.1
tsfa,3.4.0
TTR,3.4.3
tufte,3.4.3
tuneR,3.4.0
tweenr,3.4.0
ucminf,3.4.0
udunits2,3.4.0
units,3.4.3
usethis,3.4.3
utf8,3.4.3
utils,3.4.3
uuid,3.4.0
V8,3.4.0
venneuler,3.4.0
viridis,3.4.3
viridisLite,3.4.0
visNetwork,3.4.3
WDI,3.4.0
webdriver,3.4.2
webshot,3.4.3
whisker,3.4.0
withr,3.4.3
wordcloud,3.4.0
xfun,3.4.3
xgboost,3.4.3
xkcd,3.4.0
xlsx,3.4.0
xlsxjars,3.4.0
XML,3.4.1
xml2,3.4.3
XR,3.4.2
XRJulia,3.4.2
XRPython,3.4.2
xtable,3.4.0
xts,3.4.3
yaml,3.4.3
zip,3.4.0
zoo,3.4.3
